map_symbol,soil_type,favorability,productivity_index
828,Broadwell-Onarga complex,Favorable,106
829,Broadwell-Sparta complex,Favorable,123
830,Biggsville-Mannon silt loams,Crop yield data not available,
832,Landfill,Favorable,86
833,Menfro - Clarksville complex,Favorable,87
834,Menfro - Goss complex,Unfavorable,83
835,Wellston - Westmore silt loams Earthen dam,Crop yield data not available,
836,Hamburg - Lacrescent complex,Favorable,86
837,Limestone rockland - Lacrescent complex,Crop yield data not available,
838,Fayette - Goss complex,Favorable,88
840,Zurick and Ozaukee silt loams,Favorable,101
841,Carmi - Westland complex,Favorable,99
843,Bonnie and Petrolia soils,Favorable,101
844,Ava-Blair complex,Unfavorable,90
845,Darwin and Jacob silty clays,Favorable,89
846,Kamak and Cape silty clays,Favorable,91
847,Fluvaquents - Orthents complex,Crop yield data not available,
848,Drummer - Barrington - Mundelein complex,Favorable,123
849,Milford - Martinton complex,Favorable,114
850,Hickory-Hosmer silt loams,Unfavorable,86
851,Mefro-Ursa silt loams,Favorable,95
852,Mefro-Wellston silt loams ,Favorable,95
853,Alford-Westmore silt loams,Favorable,99
854#,Markham-Ashkum-Beecher complex,Favorable,105
854#,Menfro - Westmore loam,Favorable,99
855#,Timewell and Ipava soils ,Favorable,123
855#,Ruma-Westmore silt loams ,Favorable,96
856,Stookey and Timula soils,Favorable,101
857,Strawn-Hennepin loams,Unfavorable,88
858#,Port Byron-Mt. Carroll-Urban land,Crop yield data not available,
858#,Port Byron-Mt. Carroll silt loams,Favorable,123
859,Blair-Ursa silt loams,Unfavorable,87
860#,Hosmer-Ursa silt loams,Unfavorable,87
860#,Homen - Atlas silt loams,Favorable,90
861,Ursa-Hickory complex,Unfavorable,78
862,"Pits, sand",Crop yield data not available,
863,"Pits, clay",Crop yield data not available,
864,"Pits, quarries",Crop yield data not available,
865,"Pits, gravel",Crop yield data not available,
866,"Dumps, slurry",Crop yield data not available,
867,Oil-waste land,Crop yield data not available,
868,"Pits, organic",Crop yield data not available,
869,"Pits, quarries-Orthents complex",Crop yield data not available,
870,Blake-Beaucoup complex,Favorable,108
871,Lenzburg silt loam,Favorable,80
872,Rapatee silty clay loam,Favorable,97
873,Dunbarton-Dubuque complex,Unfavorable,73
874,Dickinson-Hamburg complex,Favorable,93
875,Lenzlo silty clay loam,Favorable,85
876,Lenzwheel silty clay loam,Favorable,75
877,Blake - Slacwater silt loams,Favorable,102
878,Coulterville-Grantfork silty clay loams,Unfavorable,90
880,Coulterville-Darmstadt complex,Unfavorable,92
881,Coulterville-Hoyleton-Darmstadt complex,Unfavorable,94
882,Oconee-Darmstadt-Coulterville silt loams,Unfavorable,97
883,Senachwine - Hennepin complex,Favorable,89
884,Bunkum-Coulterville silty clay loams,Unfavorable,98
885,Virden-Fosterburg silt loams,Favorable,116
886,Ruma-Ursa silty clay loams,Unfavorable,93
887,Darmstadt-Grantfork complex,Unfavorable,81
888,Passport-Grantfork complex,Unfavorable,83
889,Bluford-Darmstadt complex,Unfavorable,87
890,Ursa-Atlas complex,Unfavorable,78
891,Cisne-Piasa complex,Unfavorable,96
892,Sawmill-Lawson complex,Favorable,123
893,Catlin-Saybrook complex,Favorable,120
894,Herrick-Biddle-Piasa silt loams,Unfavorable,108
895,Fayette-Westville complex,Favorable,105
896,Wynoose-Huey complex,Unfavorable,83
897,Bunkum-Atlas silty clay loams,Unfavorable,92
898,Hickory-Sylvan complex,Favorable,88
899,Raddle-Sparta complex,Favorable,106
900,Hickory-Wellston silt loams,Unfavorable,80
901,Ipava-Osco complex,Favorable,126
902,Ipava-Sable complex,Favorable,126
903,Muskego and Houghton mucks,Favorable,112
904,"Muskego and Peotone soils, ponded",Favorable,109
905,NewGlarus-Lamoille complex,Favorable,86
906,Redbud-Hurst silty clay loams,Unfavorable,97
907,Redbud-Colp silty clay loams,Unfavorable,96
908,Hickory-Kell silt loams,Favorable,83
909,Coulterville-Oconee silt loams,Unfavorable,101
910,Timula-Miami complex,Favorable,100
911,Timula-Hickory complex,Favorable,93
912,Hoyleton-Darmstadt loam,Unfavorable,91
913,Marseilles-Hickory complex,Unfavorable,89
914,Atlas-Grantfork complex,Unfavorable,80
915,Elco-Ursa silt loams,Unfavorable,90
916,Darmstadt-Oconee silt loams,Unfavorable,92
917,Oakville-Tell complex,Favorable,84
918,Marseilles-Atlas loam,Unfavorable,89
919,Rodman-Fox complex,Unfavorable,83
920,Rushville-Huey silt loams,Unfavorable,91
921,Faxon-Ripon complex,Favorable,101
922,Alford-Hurst silty clay loams,Unfavorable,100
923,Urban land-Markham-Ashkum complex,Crop yield data not available,
924,Urban land-Milford-Martinton complex,Crop yield data not available,
925,Urban land-Frankfort-Bryce complex,Crop yield data not available,
926,Urban land- Drummer-Barrington complex,Crop yield data not available,
927,Blair-Atlas silt loams,Unfavorable,88
928,NewGlarus-Palsgrove silt loams,Favorable,93
929,Ava-Hickory complex,Unfavorable,87
930,Goss-Alford complex,Unfavorable,78
931,Seaton-Goss complex,Unfavorable,87
932,Clinton-El Dara complex,Favorable,100
933,Hickory-Clinton complex,Favorable,92
934,Blair-Grantfork complex,Unfavorable,87
935,Miami-Hennepin loam,Unfavorable,92
936,Fayette-Hickory loam,Favorable,98
937,Seaton-Hickory complex,Favorable,96
938,Miami-Casco complex,Unfavorable,96
939,Rodman-Warsaw complex,Unfavorable,87
940,Zanesville-Westmore silt loams,Unfavorable,85
941,Virden-Piasa silt loams,Unfavorable,108
942,Seaton-Oakville complex,Favorable,93
943,Seaton-Timula silt loams,Favorable,104
944,Velma-Coatsburg silt loams,Unfavorable,95
945,Hickory-High Gap silt loams,Unfavorable,82
946,Hickory-Atlas complex,Unfavorable,81
947,"Lamont, Tell and Bloomfield soils",Favorable,88
948,Fayette-Clarksville complex,Unfavorable,87
949,Eleroy and Derinda soils,Unfavorable,89
950,Dubuque and Palsgrove soils,Unfavorable,88
951,Palsgrove and Woodbine soils,Favorable,90
952,Tell-Lamont complex,Favorable,95
953,Hosmer-Lax silt loams,Unfavorable,88
954,Alford-Baxter complex,Favorable,94
955,Muskingum and Berks soils,Unfavorable,59
956,Brandon and Saffell soils,Unfavorable,83
957,Elco-Atlas silt loams,Unfavorable,91
958,Hickory and Hennepin soils,Unfavorable,81
959,Strawn-Chute complex,Favorable,82
960,Hickory-Sylvan-Fayette silt loams,Favorable,92
961,Burkhardt-Saude complex,Favorable,82
962,Sylvan-Bold complex,Favorable,98
963,Hickory and Sylvan soils,Favorable,88
964#,Hennepin and Miami soils,Unfavorable,88
964#,Miami and Hennepin soils,Favorable,92
965,Tallula-Bold silt loams,Favorable,109
966,Miami-Russell silt loams,Favorable,101
967,Hickory-Gosport complex,Unfavorable,79
968,Birkbeck-Miami silt loams,Favorable,105
969,Rodman-Casco complex,Unfavorable,81
970,Keller-Coatsburg complex,Unfavorable,95
971,Fishhook-Atlas complex,Unfavorable,84
972,Casco-Fox complex,Unfavorable,93
973,Dubuque and Dunbarton soils,Unfavorable,78
974,Dickinson-Onarga complex,Favorable,94
975,Alvin-Lamont complex,Favorable,93
976,Neotoma-Rock outcrop complex,Crop yield data not available,
977,Neotoma-Wellston complex,Unfavorable,74
978,Wauconda and Beecher silt loams,Favorable,111
979,Grays and Markham silt loams,Favorable,106
980,Zurich and Morley silt loams,Favorable,100
981,Wauconda and Frankfort silt loams,Unfavorable,106
982,Aptakisic and Nappanee silt loams,Unfavorable,92
983,Zurich and Nappanee silt loams,Unfavorable,94
984,Barrington and Varna silt loams,Favorable,110
985,Alford-Bold complex,Favorable,103
986,Wellston-Berks complex,Unfavorable,70
987,Atlas-Grantfork variant complex,Unfavorable,77
988,Westmore-Neotoma complex,Unfavorable,80
989,Mundelein and Elliott soils,Favorable,118
990,Stookey-Bodine complex,Unfavorable,90
991,Cisne-Huey complex,Unfavorable,90
992,Hoyleton-Tamalco complex,Unfavorable,90
993,Cowden-Piasa complex,Unfavorable,99
994,Oconee-Tamalco loam,Unfavorable,96
995,Herrick-Piasa complex,Unfavorable,107
996,Velma-Walshville complex,Unfavorable,93
997,Hickory-Hennepin complex,Unfavorable,81
998,Hickory-Negley complex,Favorable,86
999,Alford-Hickory complex,Favorable,97
